process,relevant,sentiment,gender,dizziness,convulsions,heart palpitations,shortness of breathe,headaches,drug effect decreased,allergies worse after taking drug,bad interaction between claritin and another drug.,nausea ,caused insomnia
sneezing need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
want claritin want,yes,4,male,no,no,no,no,no,no,no,no,no,no
erinballerrr assuming claritin clear,yes,3,male,no,no,no,no,no,no,no,no,no,no
lessybear claritin amp ibuprofen,yes,3,female,no,no,no,no,no,no,no,no,no,no
aleshia c lessybear claritin amp ibuprofen aleshia,non_english,,,,,,,,,,,,
shewantthad sneeze give claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
huh rt lessybear aleshia c lessybear claritin amp ibuprofen aleshia,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin weekend gatorade might get pallet sam,yes,3,male,no,no,no,no,no,no,no,no,no,no
ahhh aku sangat alergi sama hari senin masak tiap senin harus minum claritin trus,non_english,,,,,,,,,,,,
one claritin left,yes,3,female,no,no,no,no,no,no,no,no,no,no
ask want claritin sbrattensborg,yes,3,male,no,no,no,no,no,no,no,no,no,no
congestion give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
kind allergy medicine u take better claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
knoxblocks back buying chocolate claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
live claritin clear,yes,4,male,no,no,no,no,no,no,no,no,no,no
rt shecravesthed feeling allergic give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
allergy acting tonight right got claritin amp zyrtec,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
modelnnyc td gotta take claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
im going fix water take claritin feel bad,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
take advil claritin together die,yes,3,female,no,no,no,no,no,no,no,no,no,no
ofcoursejamal better get claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin hydrocodone,yes,3,female,no,no,no,no,no,no,no,no,no,no
christaylor fta unless claritin something hulk probably work,yes,4,male,no,no,no,no,no,no,no,no,no,no
allergy medication blog review claritin allergy medication,yes,3,male,no,no,no,no,no,no,no,no,no,no
steve corwin u claritin awesome,yes,4,male,no,no,no,no,no,no,no,no,no,no
stellamade real sudafed get pharmacist get sudafed pe zyrtec claritin allegra generic dg,yes,3,female,no,no,no,no,no,no,no,no,no,no
dear claritin kick right sniffle,yes,4,female,no,no,no,no,no,no,no,no,no,no
ayaneztv conflenti son amp popping claritin like tictac,yes,4,male,no,no,no,no,no,no,no,no,no,no
need claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
ahh need claritin dying,yes,5,male,no,no,no,no,no,no,no,no,no,no
laying bed thinking pill need take today excedrin claritin vitamin c supplement hate sick w much,yes,4,female,no,no,no,no,no,no,no,no,no,no
brooke opland baby omg live without claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
breakfast bowl honey nut cherios glass apple juice tab claritin clear non drowsy goodmorningallergies,yes,4,female,no,no,no,no,no,no,no,no,no,no
chick morning announcement sound like need claritin two,yes,3,male,no,no,no,no,no,no,no,no,no,no
best thing claritin come disolve away tablet,yes,4,female,no,no,no,no,no,no,no,no,no,no
shewantyourd sneezing quit give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
need claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
pakistani version claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
cracked claritin crack help,yes,3,male,no,no,no,no,no,no,no,no,no,no
shewantthad mine allergy give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
found claritin purse way school almost knelt faced mecca prayed allah,yes,5,female,no,no,no,no,no,no,no,no,no,no
fernandanaue tomando antial rgico com nome claritin ou allegra meo tu te sente melhor,non_english,,,,,,,,,,,,
cscharp allergy completely getting best right nobueno tried claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
jesus claritin please thanks,yes,4,female,no,no,no,no,no,no,no,no,no,no
better yet jesus claritin day,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
thebrokenplate hope allergy throat sore took claritin last nt wait hr take,yes,4,female,no,no,no,no,no,no,no,no,no,no
clairehays knew stay away glad see claritin back court,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin need kick im tired sneazing,yes,2,male,no,no,no,no,no,no,no,no,no,no
oh claritin gel cap season,yes,3,male,no,no,no,no,no,no,no,no,no,no
forgot pop claritin pill morning lord give allergy strength,yes,4,male,no,no,no,no,no,no,no,no,no,no
stupid allergy claritin please kick,yes,3,male,no,no,no,no,no,no,no,no,no,no
allergy give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin better work,yes,3,female,no,no,no,no,no,no,no,no,no,no
hay claritin wanna work like nose still stuffy keep sneezing,yes,2,unknown,no,no,no,no,no,no,no,no,no,no
dear claritin getting fog job,yes,2,female,no,no,no,no,no,yes,no,no,no,no
girl sends heyy sick probably want claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
girl tell sick probably want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl sends hey im sick want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
guess gonna get claritin medicine working,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl call say heyy sick probably want claritin shewanttsthed,yes,3,female,no,no,no,no,no,no,no,no,no,no
girl tell sick probably need claritin found major store pharmacy near,yes,3,male,no,no,no,no,no,no,no,no,no,no
shes allergy let swallow claritin shewantsyourd,yes,3,male,no,no,no,no,no,no,no,no,no,no
cassgreen sends heyyyy sick probably want claritin,yes,5,male,no,no,no,no,no,no,no,no,no,no
popping claritin small dose meth mean meth clear sinus curious,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin usually much desperate morning would like stick fork ear scratch,yes,2,female,no,no,no,no,no,no,no,no,no,no
steadyaswego kind medicated today claritin first thing took crazy hope feel better,yes,4,female,no,no,no,no,no,no,no,no,no,no
say sick totally want claritin,yes,5,female,no,no,no,no,no,no,no,no,no,no
took sudafed nyquil claritin realized none get rid soar throat fuuuuuuuuck,yes,2,female,no,no,no,no,no,no,yes,no,no,no
girl say sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl sends heyy im sick probably want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
zfurr going buy generic claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
niko claritin contigo,yes,3,female,no,no,no,no,no,no,no,no,no,no
sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
yepitsrex girl text hey sick want claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
tell sick give claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
praise claritin jesus breathe one nostril,yes,5,female,no,no,no,no,no,no,no,no,no,no
seasonal allergy want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl say hey sick want claritin,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
girlfriend allergy give claritin thed,yes,4,male,no,no,no,no,no,no,no,no,no,no
coupon kid claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
cfranczkowski feeling sick give claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
girl text saying sick give claritin,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
wendytabusalla chararat hawig nyo po yung model na nasa claritin allergy tab tv ad check nyo po tym,non_english,,,,,,,,,,,,
fall allergy come breathe deep pollen soon dead plant claritin anyone,yes,4,male,no,no,no,no,no,no,no,no,no,no
loggylo girl text saying sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
madmaddie want claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
greerbrabazon claritin kitty,yes,3,male,no,no,no,no,no,no,no,no,no,no
girl sends text hey sick want claritin,yes,5,male,no,no,no,no,no,no,no,no,no,no
zyrtec claritin worked,yes,2,female,no,no,no,no,no,yes,no,no,no,no
tarablakex speck c c tara sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
allergy give claritin,yes,5,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
text sick n ngive claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
therefore conclude definite cure cough ventolinneb lagundi honeykalamansi ambroxol claritin,yes,2,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
guess finna pack couple bowl go get claritin cause,yes,4,male,no,no,no,no,no,no,no,no,no,no
therefore conclude definite cure cough ventolinneb lagundi honeykalamansi ambroxol claritin vicks,yes,2,female,no,no,no,no,no,no,no,no,no,no
every morning take claritin fight allergyseason,yes,5,male,no,no,no,no,no,no,no,no,no,no
allergy acting give claritin bigpappa pavey l simmy,yes,4,male,no,no,no,no,no,no,no,no,no,no
taken damn claritin morning,yes,4,female,no,no,no,no,no,no,no,no,no,no
wrote u prescription claritin otc great forty buck drain get back,yes,2,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin amazing regular claritin,yes,5,male,no,no,no,no,no,no,no,no,no,no
pumped run gravel today harvest time claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
today choose claritin clear eye ball thank seasonchange bringonfall,yes,4,female,no,no,no,no,no,no,no,no,no,no
shewanttsthed say sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl sends hey sick probably want claritin haha,yes,3,male,no,no,no,no,no,no,no,no,no,no
thatkingg girl sends hey sick probably want claritin haha,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin qt mskikiarmani nose itching eye itching,yes,3,female,no,no,no,no,no,no,no,no,no,no
girl sends heyy sick prolly want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
taken claritin notfeelinggood,yes,3,female,no,no,no,no,no,no,no,no,no,no
want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl say shes sick mean want dat claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
tell sick want claritin,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
girl tell sick want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
jbuckelew one word claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
angiee xoxo claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
texted telling allergy gave claritin,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
savannarob claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
girl sick probably want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
matthewbaker give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl text saying sick want claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
angiee xoxo claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
mitchamazingell yepitsrex girl text hey sick want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
winetoweights decongestant time love claritin generic version,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin benadryl coffee mane tryna function,yes,3,female,no,no,no,no,no,no,no,no,no,no
thingsyousaytoyourbestfriend girl want sick claritin jessicaann,yes,4,female,no,no,no,no,no,no,no,no,no,no
many med robitussin advil nasal spray claritin inhaler time day dying,yes,3,female,no,no,no,no,no,no,no,no,no,no
shhewantsthhed sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
amaron get claritin well generic walmart walgreens brand work wonder,yes,3,female,no,no,no,no,no,no,no,no,no,no
sends hey im sick probably want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
allegra perde pro claritin dica para alergicos aqui hein,non_english,,,,,,,,,,,,
amadeusbennett say sick probably want claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
girl text heyy sick nshe want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
gingerkid said get claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
sick give claritin shewanttsthed b ezzy coym jalayne supa joe joeyp codythugnasty,yes,4,male,no,no,no,no,no,no,no,no,no,no
persian prince text sick n ngive claritin loooll,yes,4,female,no,no,no,no,no,no,no,no,no,no
shewantyourdick girl say sick give claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
girl sends hey sick want claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
heathm hubby amp take quercetin daily bioflavanoid amp powerful anti inflammatory neither u need claritin longer,yes,2,female,no,no,no,no,no,no,no,no,no,no
girl say got allergy prolly want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
nose stopped head hurt eye red puffy anymore claritin help,yes,2,female,no,no,no,no,no,no,no,no,no,no
claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
marie prettykoolkidd despite sick still good mood still sick taking claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
kikilovee took claritin doesnt work anymore ah im going go buy allegra way class,yes,2,female,no,no,no,no,no,yes,no,no,no,no
think becoming immune claritin smh,yes,2,male,no,no,no,no,no,yes,no,no,no,no
get done adderall claritin please,yes,3,female,no,no,no,no,no,no,no,no,no,no
girl feeling kinda sick give claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
oh rt imsydneycharles want record somewhere took claritin benadryl together case pa,yes,3,female,no,no,no,no,no,no,no,no,no,no
girl text u hey sick prolly want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
erin cain u like claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
mom gave claritin allergy,yes,4,male,no,no,no,no,no,no,no,no,no,no
im gonna start advil ill take claritin entre ill dayquil desert,yes,3,male,no,no,no,no,no,no,no,no,no,no
girl sends hey sick probably want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl text saying hey sick nshe probably want n n n hour claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl sends heyyy sick probably want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin rt starryeydbeauty phenomenal allergy medicine zyrtec work anymore,yes,3,female,no,no,no,no,no,no,no,no,no,no
g morning woke pounding headache fucked nose ran claritin yesterday freedomcoffee quite work,yes,2,female,no,no,no,no,no,no,no,no,no,no
nancyholtzman heard allergy medicine antihistamine also dry milk depending strength claritin ok jeannette,yes,4,female,no,no,no,no,no,no,no,no,no,no
girl say sick give claritin,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
say sick probably want claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
jolene brody know feeling sound like frog nose stopped far singulair amp claritin done nothing cold rain,yes,2,unknown,no,no,no,no,no,no,no,no,no,no
really need claritin clear today claritin working thesegermsgoneholdmeback,yes,2,female,no,no,no,no,no,no,yes,no,no,no
girl sends hey sick probably want claritin shewantsthed,yes,3,male,no,no,no,no,no,no,no,no,no,no
sick still want n nthe claritin hahaha,yes,4,male,no,no,no,no,no,no,no,no,no,no
juliaaa ann wondering feeling depressed make sense clarity claritin clear,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin clear commercial buy kyle tyler,yes,4,female,no,no,no,no,no,no,no,no,no,no
rt dcarr girl text u hey sick want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
imurdiamondgirl get claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
take zyrtek claritin atthesamedamntime,yes,3,female,no,no,no,no,no,no,no,no,no,no
girl say hey sick probably want claritin ifunny,yes,3,female,no,no,no,no,no,no,no,no,no,no
jflamemeyer dude sympathize get thee claritin asap,yes,4,male,no,no,no,no,no,no,no,no,no,no
sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
shewantyourdick text say sick give claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
insertwittyquip heavyweight claritin sitting dorm room comfy coffeeshop right lol,yes,4,male,no,no,no,no,no,no,no,no,no,no
hand ashespashes claritin kleenex run,yes,4,female,no,no,no,no,no,no,no,no,no,no
text feeling sick shewantsthed claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
like cat lot allergic one whatever reason back la put simply took claritin lot j,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
tell sick want n nclaritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
allergy killing bed claritin love,yes,4,female,no,no,no,no,no,no,no,no,no,no
made day girl sends heyy sick probably want nclaritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin fail,yes,3,female,no,no,no,no,no,no,no,no,no,no
sherrerwhitney lol think sinus infection taking claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
sick want claritin tristantk,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
girl text say heyy sick probably want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin liqui gel saved today gt gt,yes,5,male,no,no,no,no,no,no,no,no,no,no
claritin coupon,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
